tol:0.0024+-0.0058i 0.00201+-0.00485i 
er:-0.000783+0.000783i -0.00305+0.00305i 
tol:0.00241+-0.00582i 0.00201+-0.00485i 
er:-0.00079+0.00079i -0.00305+0.00305i 
tol:0.00242+-0.00583i 0.00201+-0.00485i 
er:-0.000797+0.000797i -0.00305+0.00305i 
tol:0.00242+-0.00584i 0.00201+-0.00485i 
er:-0.000805+0.000805i -0.00305+0.00305i 
tol:0.00243+-0.00586i 0.00201+-0.00485i 
er:-0.000812+0.000812i -0.00305+0.00305i 
tol:0.00243+-0.00587i 0.00201+-0.00485i 
er:-0.00082+0.00082i -0.00305+0.00305i 
tol:0.00244+-0.00589i 0.00201+-0.00485i 
er:-0.000827+0.000827i -0.00305+0.00305i 
tol:0.00244+-0.0059i 0.00201+-0.00486i 
er:-0.000834+0.000834i -0.00305+0.00305i 
tol:0.00245+-0.00591i 0.00201+-0.00486i 
er:-0.000842+0.000842i -0.00305+0.00305i 
tol:0.00246+-0.00593i 0.00201+-0.00486i 
er:-0.000849+0.000849i -0.00305+0.00305i 
tol:0.00246+-0.00594i 0.00201+-0.00486i 
er:-0.000856+0.000856i -0.00305+0.00305i 
tol:0.00247+-0.00595i 0.00201+-0.00486i 
er:-0.000863+0.000863i -0.00305+0.00305i 
tol:0.00247+-0.00597i 0.00201+-0.00486i 
er:-0.000871+0.000871i -0.00305+0.00305i 
tol:0.00248+-0.00598i 0.00201+-0.00486i 
er:-0.000878+0.000878i -0.00305+0.00305i 
tol:0.00248+-0.00599i 0.00201+-0.00486i 
er:-0.000885+0.000885i -0.00305+0.00305i 
tol:0.00249+-0.00601i 0.00201+-0.00486i 
er:-0.000892+0.000892i -0.00305+0.00305i 
tol:0.00249+-0.00602i 0.00201+-0.00486i 
er:-0.0009+0.0009i -0.00305+0.00305i 
tol:0.0025+-0.00603i 0.00202+-0.00486i 
er:-0.000907+0.000907i -0.00305+0.00305i 
tol:0.00251+-0.00605i 0.00202+-0.00486i 
er:-0.000914+0.000914i -0.00305+0.00305i 
tol:0.00251+-0.00606i 0.00202+-0.00487i 
er:-0.000921+0.000921i -0.00306+0.00306i 
tol:0.00252+-0.00607i 0.00202+-0.00487i 
er:-0.000928+0.000928i -0.00306+0.00306i 
tol:0.00252+-0.00609i 0.00202+-0.00487i 
er:-0.000935+0.000935i -0.00306+0.00306i 
tol:0.00253+-0.0061i 0.00202+-0.00487i 
er:-0.000943+0.000943i -0.00306+0.00306i 
tol:0.00253+-0.00611i 0.00202+-0.00487i 
er:-0.00095+0.00095i -0.00306+0.00306i 
tol:0.00254+-0.00613i 0.00202+-0.00487i 
er:-0.000957+0.000957i -0.00306+0.00306i 
tol:0.00254+-0.00614i 0.00202+-0.00487i 
er:-0.000964+0.000964i -0.00306+0.00306i 
tol:0.00255+-0.00615i 0.00202+-0.00487i 
er:-0.000971+0.000971i -0.00306+0.00306i 
tol:0.00256+-0.00617i 0.00202+-0.00487i 
er:-0.000978+0.000978i -0.00306+0.00306i 
tol:0.00256+-0.00618i 0.00202+-0.00487i 
er:-0.000985+0.000985i -0.00306+0.00306i 
tol:0.00257+-0.00619i 0.00202+-0.00488i 
er:-0.000992+0.000992i -0.00306+0.00306i 
tol:0.00257+-0.00621i 0.00202+-0.00488i 
er:-0.000999+0.000999i -0.00306+0.00306i 
tol:0.00258+-0.00622i 0.00202+-0.00488i 
er:-0.00101+0.00101i -0.00306+0.00306i 
tol:0.00258+-0.00623i 0.00202+-0.00488i 
er:-0.00101+0.00101i -0.00306+0.00306i 
tol:0.00259+-0.00625i 0.00202+-0.00488i 
er:-0.00102+0.00102i -0.00306+0.00306i 
tol:0.00259+-0.00626i 0.00202+-0.00488i 
er:-0.00103+0.00103i -0.00306+0.00306i 
tol:0.0026+-0.00627i 0.00202+-0.00488i 
er:-0.00103+0.00103i -0.00306+0.00306i 
tol:0.0026+-0.00628i 0.00202+-0.00488i 
er:-0.00104+0.00104i -0.00306+0.00306i 
tol:0.00261+-0.0063i 0.00202+-0.00489i 
er:-0.00105+0.00105i -0.00306+0.00306i 
tol:0.00261+-0.00631i 0.00202+-0.00489i 
er:-0.00106+0.00106i -0.00307+0.00307i 
tol:0.00262+-0.00632i 0.00203+-0.00489i 
er:-0.00106+0.00106i -0.00307+0.00307i 
tol:0.00262+-0.00634i 0.00203+-0.00489i 
er:-0.00107+0.00107i -0.00307+0.00307i 
tol:0.00263+-0.00635i 0.00203+-0.00489i 
er:-0.00108+0.00108i -0.00307+0.00307i 
tol:0.00264+-0.00636i 0.00203+-0.00489i 
er:-0.00108+0.00108i -0.00307+0.00307i 
tol:0.00264+-0.00637i 0.00203+-0.00489i 
er:-0.00109+0.00109i -0.00307+0.00307i 
tol:0.00265+-0.00639i 0.00203+-0.0049i 
er:-0.0011+0.0011i -0.00307+0.00307i 
tol:0.00265+-0.0064i 0.00203+-0.0049i 
er:-0.00111+0.00111i -0.00307+0.00307i 
tol:0.00266+-0.00641i 0.00203+-0.0049i 
er:-0.00111+0.00111i -0.00307+0.00307i 
tol:0.00266+-0.00642i 0.00203+-0.0049i 
er:-0.00112+0.00112i -0.00307+0.00307i 
tol:0.00267+-0.00644i 0.00203+-0.0049i 
er:-0.00113+0.00113i -0.00307+0.00307i 
tol:0.00267+-0.00645i 0.00203+-0.0049i 
er:-0.00113+0.00113i -0.00307+0.00307i 
tol:0.00268+-0.00646i 0.00203+-0.00491i 
er:-0.00114+0.00114i -0.00307+0.00307i 
tol:0.00268+-0.00647i 0.00203+-0.00491i 
er:-0.00115+0.00115i -0.00308+0.00308i 
tol:0.00269+-0.00649i 0.00203+-0.00491i 
er:-0.00115+0.00115i -0.00308+0.00308i 
tol:0.00269+-0.0065i 0.00203+-0.00491i 
er:-0.00116+0.00116i -0.00308+0.00308i 
tol:0.0027+-0.00651i 0.00204+-0.00491i 
